Anom_ID,Accident_Date,Hour,Day_of_Week,Month_Name,Env,Light_Cond,Road,Traffic,Traffic_Control_Condition,Impact,Loc_Type,Severity,Injury_Event,No__of_Vehicles,No__of_Bicycles,No__of_Motorcycles,No__of_Pedestrians,No__of_Injuries,No__of_Minimal,No__of_Minor,No__of_Major,No__of_Fatal,Latitude,Longitude
20--3618,2020-03-12,11.0,Thursday,March,Clear,Daylight,Dry,Traffic signal,01 - Functioning,Sideswipe,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.42730076,-75.66279738
20--3619,2020-03-12,11.0,Thursday,March,Clear,Daylight,Dry,Traffic signal,01 - Functioning,Turning movement,At intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.39522886,-75.74671225
20--362,2020-01-09,19.0,Thursday,January,Clear,Dark,Dry,Traffic signal,01 - Functioning,Rear end,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.33906102,-75.89726973
20--3620,2020-03-12,11.0,Thursday,March,Clear,Daylight,Dry,No control,Not Applicable,SMV unattended vehicle,At/near private drive,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.32469381,-75.60983824
20--3622,2020-03-12,12.0,Thursday,March,Clear,Daylight,Dry,Traffic signal,01 - Functioning,Other,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.37913539,-75.75022036
20--3623,2020-03-12,0.0,Thursday,March,Clear,Dark,Dry,No control,Not Applicable,SMV other,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.25634656,-76.06571733
20--3624,2020-03-12,12.0,Thursday,March,Clear,Daylight,Dry,No control,Not Applicable,SMV unattended vehicle,At/near private drive,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.40935612,-75.70033735
20--3625,2020-03-12,14.0,Thursday,March,Clear,Daylight,Dry,Traffic signal,01 - Functioning,Rear end,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.32253263,-75.89073296
20--3626,2020-03-12,15.0,Thursday,March,Clear,Daylight,Dry,No control,Not Applicable,Rear end,Non intersection,Non-Fatal Injury,1,2,0,0,0,2,2.0,0.0,0.0,0.0,45.51684708,-75.36965224
20--3627,2020-03-12,15.0,Thursday,March,Clear,Daylight,Dry,Traffic signal,01 - Functioning,Rear end,Intersection related,Property Damage Only,0,3,0,0,0,0,0.0,0.0,0.0,0.0,45.41249889,-75.61400683
20--3628,2020-03-12,16.0,Thursday,March,Clear,Daylight,Dry,Traffic signal,01 - Functioning,SMV other,At intersection,Non-Fatal Injury,1,1,0,0,1,1,0.0,1.0,0.0,0.0,45.37048397,-75.70445089
20--3629,2020-03-12,17.0,Thursday,March,Clear,Daylight,Dry,Traffic signal,01 - Functioning,Rear end,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.39294878,-75.60758143
20--363,2020-01-09,7.0,Thursday,January,Clear,Dawn,Dry,No control,Not Applicable,Rear end,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.39866711,-75.72350804
20--3630,2020-03-12,17.0,Thursday,March,Clear,Daylight,Dry,Traffic signal,01 - Functioning,Turning movement,At intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.37182036,-75.76700335
20--3631,2020-03-12,6.0,Thursday,March,Clear,Dawn,Dry,No control,Not Applicable,Turning movement,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.47236875,-75.54796855
20--3632,2020-03-12,18.0,Thursday,March,Clear,Dark,Dry,Traffic signal,01 - Functioning,Rear end,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.45830201,-75.48638372
20--3633,2020-03-12,6.0,Thursday,March,Clear,Dawn,Dry,No control,Not Applicable,SMV other,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.28576561,-75.556194
20--3634,2020-03-12,18.0,Thursday,March,Clear,Dusk,Dry,Traffic signal,01 - Functioning,Rear end,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.27244092,-75.92957087
20--3635,2020-03-12,18.0,Thursday,March,Clear,Dark,Dry,Traffic signal,01 - Functioning,Turning movement,At intersection,Non-Fatal Injury,1,2,0,0,0,2,2.0,0.0,0.0,0.0,45.37048397,-75.70445107
20--3636,2020-03-12,19.0,Thursday,March,Clear,Dark,Dry,Traffic signal,01 - Functioning,Rear end,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.43524477,-75.60904965
20--3637,2020-03-12,19.0,Thursday,March,Clear,Dark,Dry,No control,Not Applicable,SMV unattended vehicle,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.38197891,-75.75134541
20--3638,2020-03-12,19.0,Thursday,March,Clear,Dark,Dry,Traffic signal,01 - Functioning,Turning movement,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.42263545,-75.69989826
20--3639,2020-03-12,8.0,Thursday,March,Clear,Daylight,Dry,Traffic signal,01 - Functioning,Rear end,Intersection related,Non-Fatal Injury,1,2,0,0,0,1,1.0,0.0,0.0,0.0,45.33417393,-75.70057066
20--364,2020-01-09,7.0,Thursday,January,Clear,Dawn,Dry,No control,Not Applicable,Rear end,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.39587644,-75.72891866
20--3640,2020-03-12,8.0,Thursday,March,Clear,Daylight,Dry,No control,Not Applicable,Sideswipe,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.42516458,-75.63435322
20--3641,2020-03-12,8.0,Thursday,March,Clear,Daylight,Dry,No control,Not Applicable,Rear end,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.38173041,-75.68767592
20--3642,2020-03-13,13.0,Friday,March,Clear,Daylight,Dry,Traffic signal,01 - Functioning,Rear end,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.30205172,-75.90745255
20--3643,2020-03-13,13.0,Friday,March,Clear,Daylight,Wet,Roundabout,01 - Functioning,Angle,At intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.46413861,-75.54014136
20--3644,2020-03-13,10.0,Friday,March,Rain,Daylight,Wet,Traffic signal,01 - Functioning,Rear end,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.41734239,-75.60048921
20--3645,2020-03-13,10.0,Friday,March,Clear,Daylight,Wet,No control,Not Applicable,SMV other,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.38145227,-75.72684723
20--3646,2020-03-13,11.0,Friday,March,Clear,Daylight,Dry,No control,Not Applicable,Rear end,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.34895855,-75.70779753
20--3647,2020-03-13,11.0,Friday,March,Clear,Daylight,Dry,Stop sign,00 - Unknown,Sideswipe,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.41686837,-75.69493271
20--3648,2020-03-13,11.0,Friday,March,Clear,Daylight,Dry,Traffic signal,01 - Functioning,Sideswipe,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.3759261,-75.75764242
20--3649,2020-03-13,12.0,Friday,March,Clear,Daylight,Dry,Traffic signal,01 - Functioning,Rear end,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.27218374,-75.68948722
20--365,2020-01-09,20.0,Thursday,January,Clear,Dark,Dry,No control,Not Applicable,SMV unattended vehicle,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.39963964,-75.73231614
20--3404,2020-03-06,7.0,Friday,March,Snow,Daylight,Loose snow,No control,Not Applicable,Rear end,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.39522354,-75.68859023
20--3405,2020-03-06,19.0,Friday,March,Clear,Dark,Dry,No control,Not Applicable,SMV other,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.345337,-75.41274794
20--3406,2020-03-06,7.0,Friday,March,Snow,Daylight,Loose snow,Traffic signal,01 - Functioning,Angle,At intersection,Non-Fatal Injury,1,2,0,0,0,2,0.0,2.0,0.0,0.0,45.42903966,-75.63858976
20--3407,2020-03-06,7.0,Friday,March,Snow,Daylight,Slush,No control,Not Applicable,Approaching,Non intersection,Non-Fatal Injury,1,3,0,0,0,2,0.0,1.0,1.0,0.0,45.27306319,-75.84615127
20--3408,2020-03-06,7.0,Friday,March,Snow,Daylight,Slush,Traffic signal,01 - Functioning,Rear end,Intersection related,Non-Fatal Injury,1,2,0,0,0,1,1.0,0.0,0.0,0.0,45.4046319,-75.7119558
20--3409,2020-03-06,7.0,Friday,March,Snow,Daylight,Wet,Traffic signal,01 - Functioning,Rear end,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.42616854,-75.63167118
20--3410,2020-03-06,7.0,Friday,March,Snow,Daylight,Loose snow,No control,Not Applicable,SMV other,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.21238478,-75.37927428
20--3411,2020-03-06,8.0,Friday,March,Snow,Daylight,Slush,No control,Not Applicable,Approaching,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.28331591,-75.88359047
20--3412,2020-03-06,8.0,Friday,March,Snow,Daylight,Slush,No control,Not Applicable,SMV other,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.40575303,-75.7227681
20--3413,2020-03-06,8.0,Friday,March,Snow,Daylight,Slush,No control,Not Applicable,SMV other,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.41596391,-75.67315406
20--3414,2020-03-06,20.0,Friday,March,Snow,Dark,Wet,No control,Not Applicable,SMV other,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.45789283,-75.56608815
20--3415,2020-03-06,8.0,Friday,March,Snow,Daylight,Ice,Stop sign,01 - Functioning,Angle,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.37139931,-75.65537505
20--3416,2020-03-06,8.0,Friday,March,Snow,Daylight,Loose snow,No control,Not Applicable,SMV other,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.4214197,-75.5577111
20--3417,2020-03-06,8.0,Friday,March,Snow,Daylight,Wet,Roundabout,01 - Functioning,Angle,At intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.44550953,-75.49839849
20--3418,2020-03-06,8.0,Friday,March,Snow,Daylight,Slush,Traffic signal,01 - Functioning,Rear end,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.31739191,-75.63038168
20--3419,2020-03-06,8.0,Friday,March,Snow,Daylight,Ice,No control,Not Applicable,SMV other,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.50314885,-75.45614204
20--3420,2020-03-06,8.0,Friday,March,Snow,Daylight,Loose snow,Traffic signal,01 - Functioning,Rear end,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.447919,-75.48044916
20--3421,2020-03-06,8.0,Friday,March,Snow,Daylight,Loose snow,No control,Not Applicable,Rear end,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.30345962,-75.58386859
20--276,2020-01-07,16.0,Tuesday,January,Clear,Dusk,Wet,Traffic signal,01 - Functioning,Sideswipe,Intersection related,Non-Fatal Injury,1,2,0,0,0,1,1.0,0.0,0.0,0.0,45.39723518,-75.74218966
20--3422,2020-03-06,8.0,Friday,March,Snow,Daylight,Loose snow,Traffic signal,01 - Functioning,Rear end,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.45059377,-75.48197576
20--3423,2020-03-06,8.0,Friday,March,Snow,Daylight,Slush,No control,Not Applicable,Rear end,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.45642068,-75.68409714
20--3424,2020-03-06,8.0,Friday,March,Snow,Daylight,Loose snow,No control,Not Applicable,SMV other,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.31234772,-75.64295065
20--3425,2020-03-06,8.0,Friday,March,Snow,Daylight,Wet,No control,Not Applicable,Rear end,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.32270318,-75.88420681
20--3426,2020-03-06,8.0,Friday,March,Snow,Daylight,Loose snow,No control,Not Applicable,Sideswipe,Non intersection,Non-Fatal Injury,1,2,0,0,0,1,1.0,0.0,0.0,0.0,45.32498306,-75.83631331
20--3427,2020-03-06,8.0,Friday,March,Drifting Snow,Daylight,Loose snow,No control,Not Applicable,SMV other,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.28164346,-75.95668443
20--3428,2020-03-06,8.0,Friday,March,Freezing Rain,Daylight,Ice,Stop sign,01 - Functioning,SMV other,At intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.15398655,-75.64564605
20--3429,2020-03-06,9.0,Friday,March,Snow,Daylight,Loose snow,No control,Not Applicable,Rear end,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.41982339,-75.64306498
20--3430,2020-03-06,21.0,Friday,March,Clear,Dark,Dry,No control,Not Applicable,SMV other,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.42208422,-75.58500992
20--3431,2020-03-06,9.0,Friday,March,Snow,Daylight,Packed snow,Stop sign,01 - Functioning,Angle,At intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.32714536,-75.59056204
20--3432,2020-03-06,9.0,Friday,March,Snow,Daylight,Ice,No control,Not Applicable,Rear end,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.31502132,-75.99902203
20--3433,2020-03-06,9.0,Friday,March,Rain,Daylight,Slush,No control,Not Applicable,Approaching,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.32213341,-75.93964039
20--3434,2020-03-06,9.0,Friday,March,Snow,Daylight,Wet,No control,Not Applicable,Rear end,Non intersection,Non-Fatal Injury,1,2,0,0,0,1,0.0,1.0,0.0,0.0,45.5190844,-75.37718927
20--3435,2020-03-06,9.0,Friday,March,Snow,Daylight,Wet,No control,Not Applicable,Sideswipe,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.41842527,-75.65445007
20--3436,2020-03-06,9.0,Friday,March,Snow,Daylight,Ice,Stop sign,00 - Unknown,Rear end,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.4568149,-75.68293333
20--3437,2020-03-06,9.0,Friday,March,Snow,Daylight,Loose snow,No control,Not Applicable,SMV unattended vehicle,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.43080973,-75.6617188
20--3438,2020-03-06,9.0,Friday,March,Snow,Daylight,Wet,Traffic signal,01 - Functioning,Turning movement,At intersection,Non-Fatal Injury,1,3,0,0,0,2,1.0,1.0,0.0,0.0,45.28512021,-75.90872763
20--3439,2020-03-06,9.0,Friday,March,Snow,Daylight,Slush,Traffic signal,01 - Functioning,Rear end,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.39545443,-75.60009584
20--3440,2020-03-07,13.0,Saturday,March,Clear,Daylight,Dry,No control,Not Applicable,Angle,At/near private drive,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.45637225,-75.49068514
20--3441,2020-03-07,13.0,Saturday,March,Clear,Daylight,Dry,Roundabout,01 - Functioning,Sideswipe,At intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.46413882,-75.54014152
20--3442,2020-03-07,13.0,Saturday,March,Clear,Daylight,Dry,Traffic signal,01 - Functioning,Sideswipe,Intersection related,Property Damage Only,0,3,0,0,0,0,0.0,0.0,0.0,0.0,45.46203344,-75.52636709
20--3443,2020-03-07,13.0,Saturday,March,Clear,Daylight,Dry,No control,Not Applicable,SMV other,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.41807282,-75.6132227
20--3444,2020-03-07,13.0,Saturday,March,Clear,Daylight,Dry,Traffic signal,01 - Functioning,Rear end,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.27244066,-75.92957081
20--3445,2020-03-07,10.0,Saturday,March,Clear,Daylight,Dry,No control,Not Applicable,SMV unattended vehicle,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.41965798,-75.70287317
20--3446,2020-03-07,10.0,Saturday,March,Clear,Daylight,Dry,Roundabout,01 - Functioning,Angle,At intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.44550953,-75.49839849
20--3447,2020-03-07,10.0,Saturday,March,Clear,Daylight,Dry,No control,Not Applicable,SMV unattended vehicle,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.40527318,-75.7232245
20--3448,2020-03-07,10.0,Saturday,March,Clear,Daylight,Dry,No control,Not Applicable,SMV unattended vehicle,At/near private drive,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.31423894,-75.93562846
20--3449,2020-03-07,10.0,Saturday,March,Clear,Daylight,Dry,Traffic signal,01 - Functioning,Angle,At intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.3403659,-75.8417233
20--3450,2020-03-07,10.0,Saturday,March,Clear,Daylight,Dry,Traffic signal,01 - Functioning,Rear end,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.42263548,-75.69989821
20--3451,2020-03-07,11.0,Saturday,March,Clear,Daylight,Packed snow,No control,Not Applicable,SMV unattended vehicle,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.39998881,-75.71241993
20--3452,2020-03-07,11.0,Saturday,March,Clear,Daylight,Dry,No control,Not Applicable,Sideswipe,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.38371219,-75.67246339
20--3460,2020-03-07,12.0,Saturday,March,Clear,Daylight,Dry,No control,Not Applicable,SMV other,Non intersection,Non-Fatal Injury,1,1,0,0,0,1,0.0,1.0,0.0,0.0,45.34719599,-75.55444132
20--3461,2020-03-07,12.0,Saturday,March,Clear,Daylight,Dry,No control,Not Applicable,SMV other,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.30717472,-75.90928142
20--3462,2020-03-07,12.0,Saturday,March,Clear,Daylight,Dry,No control,Not Applicable,Rear end,Non intersection,Non-Fatal Injury,1,2,0,0,0,2,2.0,0.0,0.0,0.0,45.29732784,-75.88943945
20--3463,2020-03-07,0.0,Saturday,March,Clear,Dark,Dry,No control,Not Applicable,SMV other,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.28259478,-75.7163684
20--3464,2020-03-07,12.0,Saturday,March,Clear,Daylight,Dry,Stop sign,01 - Functioning,Angle,At intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.12720243,-75.94568859
20--3465,2020-03-07,12.0,Saturday,March,Clear,Daylight,Dry,Traffic signal,01 - Functioning,Sideswipe,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.39431638,-75.7488827
20--3466,2020-03-07,12.0,Saturday,March,Clear,Daylight,Dry,No control,Not Applicable,Sideswipe,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.34806896,-75.78905206
20--3467,2020-03-07,14.0,Saturday,March,Clear,Daylight,Dry,Traffic signal,01 - Functioning,Rear end,Intersection related,Non-Fatal Injury,1,3,0,0,0,1,1.0,0.0,0.0,0.0,45.37509923,-75.71864794
20--3468,2020-03-07,14.0,Saturday,March,Clear,Daylight,Dry,No control,Not Applicable,Rear end,Non intersection,Non-Fatal Injury,1,2,0,0,0,1,0.0,1.0,0.0,0.0,45.41185062,-75.65583294
20--3469,2020-03-07,15.0,Saturday,March,Clear,Daylight,Dry,Traffic signal,01 - Functioning,Angle,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.4118334,-75.63045973
20--347,2020-01-09,12.0,Thursday,January,Clear,Daylight,Dry,Traffic signal,01 - Functioning,Rear end,Intersection related,Non-Fatal Injury,1,2,0,0,0,1,0.0,1.0,0.0,0.0,45.41939988,-75.6566784
20--2760,2020-02-22,17.0,Saturday,February,Clear,Daylight,Dry,No control,Not Applicable,SMV unattended vehicle,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.39138265,-75.7234769
20--2761,2020-02-22,5.0,Saturday,February,Clear,Dark,Dry,Stop sign,01 - Functioning,SMV other,Intersection related,Non-Fatal Injury,1,1,0,0,0,1,0.0,1.0,0.0,0.0,45.42836082,-75.57287613
20--2762,2020-02-22,18.0,Saturday,February,Clear,Dusk,Dry,Traffic signal,01 - Functioning,Turning movement,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.27522704,-75.72601419
20--2763,2020-02-22,18.0,Saturday,February,Clear,Dark,Dry,Traffic signal,00 - Unknown,Rear end,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.38802026,-75.67623737
20--2764,2020-02-22,18.0,Saturday,February,Clear,Dark,Dry,No control,Not Applicable,SMV other,Non intersection,Non-Fatal Injury,1,1,0,0,0,1,0.0,1.0,0.0,0.0,45.47995088,-76.09909173
20--2765,2020-02-22,18.0,Saturday,February,Clear,Dark,Wet,No control,Not Applicable,Rear end,Non intersection,Property Damage Only,0,3,0,0,0,0,0.0,0.0,0.0,0.0,45.30670075,-75.91311151
20--2766,2020-02-22,19.0,Saturday,February,Clear,Dark,Dry,Stop sign,01 - Functioning,Angle,At intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.4077285,-75.70948574
20--2767,2020-02-22,20.0,Saturday,February,Clear,Dark,Dry,No control,Not Applicable,Sideswipe,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.38554546,-75.73817965
20--2768,2020-02-22,8.0,Saturday,February,Clear,Daylight,Dry,No control,Not Applicable,SMV other,At/near private drive,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.46825531,-75.50196332
20--2769,2020-02-22,9.0,Saturday,February,Clear,Daylight,Dry,Stop sign,01 - Functioning,Other,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.33375388,-75.75700722
20--277,2020-01-07,16.0,Tuesday,January,Clear,Daylight,Wet,No control,Not Applicable,Turning movement,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.36139604,-75.73438674
20--2770,2020-02-22,9.0,Saturday,February,Clear,Daylight,Dry,No control,Not Applicable,Rear end,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.48602724,-75.50265728
20--2771,2020-02-22,21.0,Saturday,February,Clear,Dark,Ice,No control,Not Applicable,Turning movement,At/near private drive,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.32509007,-75.71860091
20--2772,2020-02-22,9.0,Saturday,February,Clear,Daylight,Dry,IPS,01 - Functioning,Rear end,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.39345666,-75.75088657
20--2773,2020-02-23,13.0,Sunday,February,Clear,Daylight,Dry,No control,Not Applicable,Angle,At/near private drive,Non-Fatal Injury,1,2,0,0,0,1,1.0,0.0,0.0,0.0,45.43357935,-75.66805841
20--2774,2020-02-23,1.0,Sunday,February,Clear,Dark,Wet,No control,Not Applicable,SMV other,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.40167818,-75.59393692
20--2775,2020-02-23,22.0,Sunday,February,Clear,Dark,Dry,Traffic signal,01 - Functioning,Rear end,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.44997231,-75.58813224
20--2776,2020-02-23,11.0,Sunday,February,Clear,Daylight,Dry,Traffic signal,01 - Functioning,Angle,At intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.31307549,-75.91594447
20--2778,2020-02-23,0.0,Sunday,February,Clear,Dark,Dry,Traffic signal,01 - Functioning,Sideswipe,At intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.43524477,-75.60904981
20--2779,2020-02-23,12.0,Sunday,February,Clear,Daylight,Dry,No control,Not Applicable,Angle,At/near private drive,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.37487841,-75.76219946
20--278,2020-01-07,16.0,Tuesday,January,Snow,Dusk,Slush,Yield sign,01 - Functioning,Rear end,Intersection related,Non-Fatal Injury,1,2,0,0,0,1,1.0,0.0,0.0,0.0,45.45069254,-75.58592168
20--2780,2020-02-23,12.0,Sunday,February,Clear,Daylight,Dry,No control,Not Applicable,SMV other,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.40547827,-75.70915768
20--2781,2020-02-23,14.0,Sunday,February,Clear,Daylight,Wet,Stop sign,01 - Functioning,Angle,At intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.40648917,-75.70725454
20--2782,2020-02-23,14.0,Sunday,February,Clear,Daylight,Dry,No control,Not Applicable,Rear end,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.40465287,-75.70330083
20--2783,2020-02-23,14.0,Sunday,February,Clear,Daylight,Dry,Traffic signal,01 - Functioning,SMV other,At intersection,Non-Fatal Injury,1,1,0,0,1,1,1.0,0.0,0.0,0.0,45.44197547,-75.6441955
20--2784,2020-02-23,14.0,Sunday,February,Clear,Daylight,Dry,Stop sign,01 - Functioning,Rear end,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.26014212,-75.77228829
20--2785,2020-02-23,2.0,Sunday,February,Clear,Dark,Packed snow,No control,Not Applicable,SMV unattended vehicle,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.35363173,-75.73850748
20--2786,2020-02-23,15.0,Sunday,February,Clear,Daylight,Dry,No control,Not Applicable,Rear end,Non intersection,Property Damage Only,0,3,0,0,0,0,0.0,0.0,0.0,0.0,45.42172282,-75.65956146
20--2787,2020-02-23,15.0,Sunday,February,Clear,Daylight,Dry,Traffic signal,01 - Functioning,Rear end,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.34747258,-75.66147353
20--2788,2020-02-23,15.0,Sunday,February,Clear,Daylight,Dry,Traffic signal,01 - Functioning,Sideswipe,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.38378621,-75.67184228
